experiment_name,stage,module,model,dataset,epochs,imgsz,batch,best_epoch,best_metric,best_precision,best_recall,best_map50,best_map50_95,final_epoch,final_precision,final_recall,final_map50,final_map50_95,result_dir,best_weight,note,params_m,gflops,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,inference_fps,model_size_mb,efficiency_imgsz,efficiency_batch,efficiency_device
exdark_yolo11s_lqa_loss_warmup,module1,module1_lqa_loss,weights/pretrained/yolo11s.pt,datasets_yolo/ExDark_YOLO/exdark.yaml,100,640,16,58,metrics/mAP50-95(B),0.79263,0.7119,0.78147,0.50299,100,0.8103,0.68996,0.76238,0.48368,runs/module1_lqa_loss/batch_level/exdark_yolo11s_lqa_loss_warmup,runs/module1_lqa_loss/batch_level/exdark_yolo11s_lqa_loss_warmup/weights/best.pt,loss-level low-quality-aware weighting with warmup and clipping,,,,,,,,,,,,
exdark_yolo11s_lqa_loss_small_focus_a030,module1,module1_lqa_loss,weights/pretrained/yolo11s.pt,datasets_yolo/ExDark_YOLO/exdark.yaml,100,640,16,61,metrics/mAP50-95(B),0.81595,0.69826,0.78036,0.50133,100,0.80378,0.69916,0.76342,0.48464,runs/module1_lqa_loss/batch_level/exdark_yolo11s_lqa_loss_small_focus_a030,runs/module1_lqa_loss/batch_level/exdark_yolo11s_lqa_loss_small_focus_a030/weights/best.pt,loss-level low-quality-aware weighting with warmup and clipping,,,,,,,,,,,,
exdark_yolo11s_lqa_loss_mild_a020,module1,module1_lqa_loss,weights/pretrained/yolo11s.pt,datasets_yolo/ExDark_YOLO/exdark.yaml,100,640,16,71,metrics/mAP50-95(B),0.81702,0.70407,0.78515,0.50378,100,0.80599,0.69563,0.76039,0.48365,runs/module1_lqa_loss/batch_level/exdark_yolo11s_lqa_loss_mild_a020,runs/module1_lqa_loss/batch_level/exdark_yolo11s_lqa_loss_mild_a020/weights/best.pt,loss-level low-quality-aware weighting with warmup and clipping,,,,,,,,,,,,
exdark_yolo11s_lqa_loss_mid_a023,module1,module1_lqa_loss,weights/pretrained/yolo11s.pt,datasets_yolo/ExDark_YOLO/exdark.yaml,100,640,16,57,metrics/mAP50-95(B),0.8009,0.69125,0.77616,0.50095,100,0.80909,0.70512,0.76851,0.48618,runs/module1_lqa_loss/batch_level/exdark_yolo11s_lqa_loss_mid_a023,runs/module1_lqa_loss/batch_level/exdark_yolo11s_lqa_loss_mid_a023/weights/best.pt,loss-level low-quality-aware weighting with warmup and clipping,,,,,,,,,,,,
exdark_yolo11s_lqa_loss_dark_focus_a025,module1,module1_lqa_loss,weights/pretrained/yolo11s.pt,datasets_yolo/ExDark_YOLO/exdark.yaml,100,640,16,76,metrics/mAP50-95(B),0.82459,0.69786,0.78012,0.50342,100,0.82312,0.68981,0.76086,0.48684,runs/module1_lqa_loss/batch_level/exdark_yolo11s_lqa_loss_dark_focus_a025,runs/module1_lqa_loss/batch_level/exdark_yolo11s_lqa_loss_dark_focus_a025/weights/best.pt,loss-level low-quality-aware weighting with warmup and clipping,,,,,,,,,,,,
exdark_yolo11s_lqa_loss_object_a025,module1,module1_lqa_loss,weights/pretrained/yolo11s.pt,datasets_yolo/ExDark_YOLO/exdark.yaml,100,640,16,58,metrics/mAP50-95(B),0.79263,0.7119,0.78147,0.50299,100,0.8103,0.68996,0.76238,0.48368,runs/module1_lqa_loss/object_level/exdark_yolo11s_lqa_loss_object_a025,runs/module1_lqa_loss/object_level/exdark_yolo11s_lqa_loss_object_a025/weights/best.pt,loss-level low-quality-aware weighting with warmup and clipping,,,,,,,,,,,,
aodraw_yolo11s_lqa_loss_warmup,module1,module1_lqa_loss,weights/pretrained/yolo11s.pt,datasets_yolo/AODRaw_sRGB_YOLO/aodraw.yaml,100,640,16,88,metrics/mAP50-95(B),0.64777,0.39858,0.42338,0.28343,100,0.62348,0.39846,0.41765,0.27797,runs/module1_lqa_loss/batch_level/aodraw_yolo11s_lqa_loss_warmup,runs/module1_lqa_loss/batch_level/aodraw_yolo11s_lqa_loss_warmup/weights/best.pt,loss-level low-quality-aware weighting with warmup and clipping,,,,,,,,,,,,
