epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,1191.61,1.30417,1.11699,1.29739,0.73236,0.65785,0.72151,0.44402,1.41058,1.13952,1.42516,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1245.14,1.29038,1.08814,1.28319,0.75045,0.63782,0.71115,0.43824,1.41894,1.13697,1.42821,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1302.03,1.28311,1.07231,1.27646,0.74738,0.64342,0.71741,0.44355,1.40885,1.11614,1.41172,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1355.42,1.26213,1.05215,1.25935,0.73322,0.65406,0.72453,0.45233,1.40018,1.10438,1.41594,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1409.09,1.25291,1.02934,1.25598,0.7405,0.65751,0.72414,0.4501,1.39483,1.11073,1.40853,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1466.32,1.24474,1.01423,1.25168,0.77107,0.63521,0.7202,0.45089,1.40261,1.11603,1.42108,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1519.4,1.23569,0.98962,1.24034,0.76956,0.64313,0.73006,0.45818,1.39879,1.10264,1.40371,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1572.41,1.22879,0.98242,1.23515,0.76163,0.65459,0.72418,0.45037,1.39639,1.09889,1.408,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1629.48,1.21927,0.96419,1.23223,0.74994,0.64853,0.72292,0.45392,1.39909,1.08481,1.4086,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1686.11,1.20587,0.95421,1.22475,0.75848,0.65381,0.72748,0.4549,1.38996,1.09045,1.40731,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1741.27,1.19985,0.95054,1.22496,0.77474,0.65136,0.73241,0.46269,1.38216,1.07628,1.4014,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1795.32,1.18797,0.92523,1.21133,0.76254,0.66281,0.72872,0.45455,1.39194,1.06573,1.40284,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1850.49,1.17449,0.90943,1.20242,0.79454,0.65191,0.73941,0.46519,1.38924,1.05804,1.39815,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1905.92,1.16739,0.90739,1.20041,0.75511,0.65802,0.73358,0.46386,1.38506,1.07034,1.40164,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1958.41,1.1662,0.90054,1.19894,0.7626,0.65841,0.73363,0.46104,1.38968,1.05335,1.38911,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
