epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4658,1.46074,2.62331,1.17064,0.56542,0.18496,0.18781,0.12386,1.32777,1.64792,1.09113,4.9521e-05,4.9521e-05,4.9521e-05
2,93.4963,1.366,1.54852,1.11497,0.58648,0.27656,0.27508,0.18194,1.30164,1.41194,1.07953,9.82057e-05,9.82057e-05,9.82057e-05
3,124.312,1.34319,1.38919,1.09965,0.58479,0.2837,0.29228,0.19456,1.27917,1.3312,1.06885,0.000145907,0.000145907,0.000145907
4,154.949,1.33413,1.30884,1.09263,0.59664,0.29977,0.31679,0.20814,1.30092,1.27543,1.07784,0.000144575,0.000144575,0.000144575
5,187.369,1.31752,1.25784,1.08575,0.55114,0.32548,0.33304,0.22011,1.28448,1.24169,1.07152,0.0001431,0.0001431,0.0001431
6,217.502,1.29918,1.19762,1.07704,0.56679,0.3097,0.33612,0.22265,1.28604,1.21201,1.07179,0.000141624,0.000141624,0.000141624
7,248.819,1.29352,1.16892,1.07227,0.59439,0.32543,0.35285,0.23249,1.2888,1.18425,1.07084,0.000140149,0.000140149,0.000140149
8,278.963,1.26853,1.13218,1.06235,0.55721,0.32278,0.34796,0.23076,1.27893,1.17665,1.06661,0.000138674,0.000138674,0.000138674
9,309.953,1.26681,1.11029,1.06016,0.53678,0.34087,0.3526,0.23669,1.2737,1.16508,1.06763,0.000137199,0.000137199,0.000137199
10,339.851,1.25801,1.08219,1.05321,0.61292,0.32409,0.35223,0.23344,1.2652,1.15122,1.06745,0.000135724,0.000135724,0.000135724
11,369.857,1.25023,1.07165,1.05183,0.56743,0.34145,0.35988,0.24047,1.2643,1.1367,1.06391,0.000134249,0.000134249,0.000134249
12,399.772,1.24332,1.04843,1.04471,0.57713,0.34645,0.37115,0.24549,1.26202,1.13662,1.05948,0.000132774,0.000132774,0.000132774
13,430,1.24074,1.03234,1.04341,0.54412,0.35105,0.36455,0.23957,1.27832,1.13253,1.06699,0.000131299,0.000131299,0.000131299
14,460.124,1.23246,1.02363,1.04151,0.53269,0.36302,0.36908,0.24471,1.26014,1.12355,1.06676,0.000129824,0.000129824,0.000129824
15,490.317,1.22889,1.00593,1.03399,0.59367,0.34651,0.37144,0.24502,1.26745,1.10881,1.06188,0.000128349,0.000128349,0.000128349
16,520.338,1.21564,0.99044,1.03249,0.56894,0.34215,0.36931,0.24399,1.26734,1.10847,1.06156,0.000126873,0.000126873,0.000126873
17,550.495,1.21681,0.98217,1.02926,0.58017,0.34812,0.37335,0.24686,1.25114,1.10122,1.05968,0.000125398,0.000125398,0.000125398
18,580.911,1.21661,0.98181,1.02892,0.583,0.34102,0.37023,0.24332,1.2656,1.09902,1.06269,0.000123923,0.000123923,0.000123923
19,611.551,1.19473,0.95987,1.02065,0.5368,0.36178,0.37559,0.24719,1.25046,1.08571,1.06556,0.000122448,0.000122448,0.000122448
20,641.741,1.20086,0.9519,1.02145,0.55894,0.36873,0.38193,0.25749,1.25746,1.08617,1.06312,0.000120973,0.000120973,0.000120973
21,672.463,1.19837,0.94047,1.0206,0.52752,0.36662,0.38627,0.25584,1.26001,1.09816,1.06213,0.000119498,0.000119498,0.000119498
