epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3111,1.4234,1.97567,1.38878,0.60597,0.53522,0.55687,0.31827,1.50727,1.73837,1.46366,0.000207769,0.000207769,0.000207769
2,87.2277,1.49711,1.7156,1.48477,0.57115,0.45803,0.49665,0.28204,1.592,1.83708,1.57627,0.000411983,0.000411983,0.000411983
3,115.142,1.55566,1.80573,1.54914,0.52572,0.46927,0.48074,0.27312,1.60458,1.88182,1.57286,0.000612072,0.000612072,0.000612072
4,142.429,1.57917,1.84525,1.57509,0.59604,0.48537,0.53201,0.30093,1.58294,1.65217,1.58462,0.000606437,0.000606437,0.000606437
