epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1264.99,1.25856,1.00068,1.35781,0.80541,0.67368,0.7702,0.49321,1.34306,0.99279,1.36784,0.000371313,0.000371313,0.000371313
43,1293.38,1.24092,0.98608,1.34769,0.76896,0.70015,0.77202,0.49702,1.34013,0.98526,1.36082,0.000365125,0.000365125,0.000365125
44,1330.62,1.23125,0.98374,1.33702,0.7868,0.68715,0.76903,0.4913,1.35068,0.98311,1.37562,0.000358938,0.000358938,0.000358938
45,1359.34,1.23551,0.98182,1.34837,0.77894,0.69699,0.77151,0.49664,1.33656,0.98038,1.36355,0.00035275,0.00035275,0.00035275
46,1388.23,1.22927,0.96584,1.33499,0.77931,0.7059,0.77532,0.49526,1.35806,0.97784,1.3679,0.000346563,0.000346563,0.000346563
47,1416.87,1.21952,0.9451,1.32739,0.79,0.70711,0.78137,0.49897,1.35071,0.96421,1.36534,0.000340375,0.000340375,0.000340375
48,1445.64,1.22344,0.94878,1.32909,0.80479,0.69973,0.77184,0.49782,1.34953,0.97528,1.36982,0.000334188,0.000334188,0.000334188
49,1474.28,1.20388,0.92745,1.31679,0.79026,0.70332,0.77708,0.5019,1.33728,0.96539,1.35571,0.000328,0.000328,0.000328
50,1502.82,1.19373,0.91744,1.31094,0.81133,0.67855,0.76887,0.49365,1.35036,0.97129,1.36422,0.000321812,0.000321812,0.000321812
51,1531.8,1.19883,0.90871,1.31503,0.78506,0.70878,0.77804,0.49572,1.34912,0.95756,1.37521,0.000315625,0.000315625,0.000315625
52,1560.18,1.19043,0.91359,1.31328,0.81342,0.68294,0.77386,0.49649,1.34821,0.96302,1.3707,0.000309437,0.000309437,0.000309437
53,1588.89,1.18816,0.90218,1.30457,0.78105,0.71605,0.77434,0.49725,1.34037,0.95032,1.3637,0.00030325,0.00030325,0.00030325
54,1617.48,1.17459,0.87984,1.29977,0.79408,0.69454,0.77121,0.49602,1.34801,0.96042,1.37022,0.000297063,0.000297063,0.000297063
55,1645.99,1.18364,0.89139,1.30429,0.81274,0.69207,0.77198,0.49447,1.35663,0.96236,1.37103,0.000290875,0.000290875,0.000290875
56,1674.75,1.16952,0.87587,1.29893,0.79085,0.70932,0.77505,0.49789,1.35135,0.95674,1.36853,0.000284688,0.000284688,0.000284688
57,1703.24,1.15142,0.86678,1.28615,0.796,0.70126,0.77433,0.49705,1.35103,0.96088,1.37123,0.0002785,0.0002785,0.0002785
58,1731.66,1.15346,0.85979,1.28506,0.80001,0.70252,0.77744,0.49834,1.34677,0.95746,1.36696,0.000272313,0.000272313,0.000272313
59,1760.06,1.15489,0.85727,1.28874,0.77627,0.71428,0.77354,0.49595,1.35216,0.96541,1.37148,0.000266125,0.000266125,0.000266125
60,1788.62,1.14742,0.84998,1.28212,0.81403,0.70535,0.77991,0.50061,1.34667,0.9571,1.36796,0.000259938,0.000259938,0.000259938
61,1816.97,1.13096,0.83845,1.27934,0.79706,0.70184,0.78255,0.50149,1.35895,0.94953,1.37647,0.00025375,0.00025375,0.00025375
62,1845.73,1.12345,0.83081,1.27336,0.80174,0.69808,0.77375,0.49645,1.36153,0.96836,1.38838,0.000247563,0.000247563,0.000247563
63,1874.31,1.12001,0.82208,1.26917,0.80956,0.69819,0.78214,0.50111,1.36091,0.94651,1.37886,0.000241375,0.000241375,0.000241375
64,1904.92,1.10838,0.80422,1.25975,0.80434,0.70312,0.77803,0.49913,1.3583,0.94659,1.37531,0.000235188,0.000235188,0.000235188
65,1945.18,1.1075,0.80265,1.26076,0.8065,0.70024,0.7788,0.49563,1.36667,0.95778,1.38345,0.000229,0.000229,0.000229
66,1973.96,1.1058,0.806,1.26229,0.80104,0.6937,0.7746,0.49571,1.36692,0.96574,1.39304,0.000222813,0.000222813,0.000222813
67,2002.27,1.10081,0.78893,1.25458,0.80407,0.69925,0.77775,0.49805,1.36234,0.9504,1.38773,0.000216625,0.000216625,0.000216625
68,2030.82,1.08968,0.78679,1.24899,0.78743,0.72862,0.78026,0.49683,1.37043,0.94963,1.38818,0.000210437,0.000210437,0.000210437
69,2059.47,1.08511,0.77991,1.24977,0.819,0.6937,0.77831,0.49921,1.3634,0.95047,1.38594,0.00020425,0.00020425,0.00020425
70,2087.84,1.07773,0.77311,1.23733,0.80913,0.70706,0.78301,0.50297,1.35756,0.93704,1.37983,0.000198063,0.000198063,0.000198063
71,2116.12,1.07935,0.76583,1.23735,0.81702,0.70407,0.78515,0.50378,1.35957,0.93413,1.38463,0.000191875,0.000191875,0.000191875
72,2147.05,1.06647,0.75961,1.23632,0.7915,0.70836,0.77756,0.49997,1.36438,0.94857,1.39246,0.000185688,0.000185688,0.000185688
73,2176.09,1.0646,0.75071,1.23402,0.80641,0.69825,0.77835,0.49851,1.37019,0.94634,1.3937,0.0001795,0.0001795,0.0001795
74,2208.73,1.06334,0.73982,1.22505,0.81889,0.68889,0.7773,0.49743,1.36711,0.95275,1.39025,0.000173313,0.000173313,0.000173313
75,2239.69,1.05661,0.74354,1.22637,0.81363,0.69607,0.78216,0.50177,1.36641,0.94686,1.38998,0.000167125,0.000167125,0.000167125
76,2270.37,1.04766,0.7383,1.2249,0.81394,0.70069,0.77948,0.50039,1.36454,0.95546,1.3917,0.000160938,0.000160938,0.000160938
77,2298.89,1.04467,0.73281,1.22189,0.81521,0.70511,0.78152,0.50064,1.36503,0.94718,1.39406,0.00015475,0.00015475,0.00015475
78,2330.19,1.0346,0.71919,1.21485,0.81233,0.70074,0.7754,0.49857,1.36939,0.95705,1.39689,0.000148563,0.000148563,0.000148563
79,2357.21,1.03288,0.71087,1.2137,0.79886,0.71355,0.7772,0.49632,1.3736,0.96018,1.40286,0.000142375,0.000142375,0.000142375
80,2388.32,1.02548,0.71126,1.20983,0.81769,0.69741,0.77525,0.49546,1.36772,0.95713,1.39321,0.000136187,0.000136187,0.000136187
