epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1307.54,1.29379,1.02997,1.38908,0.78448,0.68257,0.75693,0.48523,1.35593,1.01137,1.37068,0.000371313,0.000371313,0.000371313
43,1334.68,1.27779,1.01321,1.38163,0.78706,0.68079,0.76702,0.49143,1.34564,0.98434,1.36706,0.000365125,0.000365125,0.000365125
44,1364.96,1.26338,1.00322,1.36796,0.78323,0.68676,0.76573,0.48507,1.35742,0.98411,1.37008,0.000358938,0.000358938,0.000358938
45,1396.39,1.26431,0.99545,1.37462,0.7644,0.69956,0.76631,0.49035,1.34994,0.98569,1.37259,0.00035275,0.00035275,0.00035275
46,1427.91,1.26307,0.9865,1.37166,0.77025,0.69781,0.76906,0.4876,1.35304,0.98613,1.36451,0.000346563,0.000346563,0.000346563
47,1455.31,1.25161,0.9727,1.36241,0.75648,0.71032,0.76644,0.49047,1.34571,0.98576,1.36716,0.000340375,0.000340375,0.000340375
48,1485.92,1.25091,0.97338,1.36494,0.80248,0.69141,0.7701,0.49214,1.35047,0.97009,1.37004,0.000334188,0.000334188,0.000334188
49,1516.44,1.24474,0.95556,1.35852,0.79229,0.68948,0.76984,0.49086,1.34181,0.97273,1.36111,0.000328,0.000328,0.000328
50,1545.06,1.22543,0.93889,1.34868,0.78733,0.68151,0.76374,0.49011,1.3601,0.98613,1.38038,0.000321812,0.000321812,0.000321812
51,1581.16,1.22265,0.93791,1.34422,0.78678,0.69793,0.7691,0.49259,1.35865,0.97721,1.37467,0.000315625,0.000315625,0.000315625
52,1611.86,1.22523,0.9415,1.34774,0.78813,0.70895,0.77453,0.49673,1.35445,0.97416,1.38483,0.000309437,0.000309437,0.000309437
53,1642.25,1.21248,0.91517,1.33241,0.79762,0.70165,0.77659,0.4994,1.34703,0.96202,1.35921,0.00030325,0.00030325,0.00030325
54,1673.27,1.20343,0.90055,1.32918,0.79675,0.70003,0.76881,0.49769,1.33909,0.97001,1.3661,0.000297063,0.000297063,0.000297063
55,1700.54,1.21146,0.90602,1.33653,0.79957,0.6998,0.77206,0.49366,1.35468,0.9753,1.3738,0.000290875,0.000290875,0.000290875
56,1730.93,1.19826,0.8976,1.33028,0.79486,0.7086,0.77648,0.49825,1.34658,0.96217,1.36509,0.000284688,0.000284688,0.000284688
57,1764.86,1.18517,0.8876,1.31963,0.80216,0.69198,0.77472,0.49627,1.34755,0.97258,1.36341,0.0002785,0.0002785,0.0002785
58,1792.48,1.18246,0.87543,1.31926,0.79263,0.7119,0.78147,0.50299,1.34831,0.95661,1.36542,0.000272313,0.000272313,0.000272313
59,1823.06,1.18421,0.87215,1.32073,0.79136,0.70159,0.77412,0.49496,1.35676,0.96295,1.37088,0.000266125,0.000266125,0.000266125
60,1853.58,1.17563,0.86784,1.31398,0.78547,0.70338,0.77295,0.49762,1.34542,0.96582,1.37572,0.000259938,0.000259938,0.000259938
61,1882.68,1.16506,0.85612,1.31435,0.79222,0.70691,0.78023,0.49833,1.35513,0.95788,1.37523,0.00025375,0.00025375,0.00025375
62,1911.61,1.15363,0.84802,1.30572,0.78369,0.71084,0.77212,0.49647,1.35812,0.96615,1.38668,0.000247563,0.000247563,0.000247563
63,1942.35,1.15196,0.8397,1.30443,0.79454,0.70826,0.77125,0.49178,1.36426,0.97188,1.38702,0.000241375,0.000241375,0.000241375
64,1972.67,1.1361,0.834,1.29379,0.78492,0.71654,0.77422,0.4951,1.35557,0.96831,1.37991,0.000235188,0.000235188,0.000235188
65,2000.12,1.1395,0.8245,1.29739,0.81456,0.69414,0.7754,0.49647,1.36243,0.95816,1.39137,0.000229,0.000229,0.000229
66,2030.68,1.13502,0.82415,1.29345,0.81176,0.68978,0.77181,0.4926,1.3677,0.98046,1.38582,0.000222813,0.000222813,0.000222813
67,2061.05,1.13312,0.80928,1.2857,0.79617,0.69767,0.7723,0.49547,1.36506,0.97296,1.39018,0.000216625,0.000216625,0.000216625
68,2092.21,1.11768,0.81117,1.28224,0.78783,0.70902,0.77401,0.49219,1.36992,0.97025,1.39539,0.000210437,0.000210437,0.000210437
69,2119.83,1.1145,0.79774,1.28223,0.81026,0.69316,0.77537,0.49376,1.3665,0.96069,1.39158,0.00020425,0.00020425,0.00020425
70,2150.3,1.10639,0.79058,1.27378,0.78649,0.70159,0.77353,0.49321,1.36461,0.97031,1.38968,0.000198063,0.000198063,0.000198063
71,2181.36,1.10393,0.78735,1.26921,0.79149,0.7077,0.77415,0.49171,1.36909,0.97155,1.3904,0.000191875,0.000191875,0.000191875
72,2212.35,1.09214,0.78009,1.26804,0.79542,0.70419,0.77703,0.49329,1.36588,0.96097,1.38772,0.000185688,0.000185688,0.000185688
73,2242.06,1.09324,0.7706,1.26443,0.80586,0.69678,0.77321,0.49371,1.36707,0.96236,1.38772,0.0001795,0.0001795,0.0001795
74,2275.41,1.09127,0.763,1.25594,0.79521,0.70292,0.76975,0.4922,1.36398,0.97163,1.38341,0.000173313,0.000173313,0.000173313
75,2308.52,1.08377,0.7615,1.25734,0.81154,0.69495,0.77322,0.49599,1.36429,0.96636,1.38821,0.000167125,0.000167125,0.000167125
76,2336.93,1.07141,0.7579,1.25571,0.80085,0.69957,0.77205,0.49459,1.36691,0.96788,1.39467,0.000160938,0.000160938,0.000160938
77,2366.89,1.07088,0.74897,1.2547,0.79227,0.70849,0.77164,0.49495,1.36764,0.96396,1.3957,0.00015475,0.00015475,0.00015475
78,2397.26,1.06497,0.73951,1.24847,0.80606,0.69787,0.76873,0.49206,1.37033,0.96958,1.39377,0.000148563,0.000148563,0.000148563
79,2427.61,1.05825,0.73234,1.2458,0.80595,0.69193,0.77106,0.49312,1.37121,0.97065,1.39784,0.000142375,0.000142375,0.000142375
80,2454.62,1.04945,0.73039,1.24193,0.79893,0.69897,0.76916,0.49277,1.36878,0.97171,1.39458,0.000136187,0.000136187,0.000136187
81,2484.97,1.04945,0.72323,1.24122,0.80742,0.69672,0.77381,0.49398,1.36991,0.96599,1.39555,0.00013,0.00013,0.00013
82,2515.3,1.04904,0.72449,1.23856,0.79566,0.70019,0.77284,0.49326,1.3713,0.96768,1.39757,0.000123812,0.000123812,0.000123812
83,2544.29,1.03819,0.71305,1.23241,0.79489,0.70109,0.77073,0.49302,1.37482,0.97101,1.40015,0.000117625,0.000117625,0.000117625
84,2572.82,1.03972,0.70954,1.23508,0.7966,0.70374,0.77058,0.49404,1.37294,0.97018,1.39723,0.000111438,0.000111438,0.000111438
85,2603.07,1.03007,0.70697,1.22784,0.8041,0.69553,0.77061,0.49346,1.37072,0.97797,1.39958,0.00010525,0.00010525,0.00010525
86,2633.43,1.01753,0.69239,1.22157,0.78343,0.71164,0.76942,0.49206,1.37395,0.97813,1.4043,9.90625e-05,9.90625e-05,9.90625e-05
