experiment_name,stage,module,model,dataset,epochs,imgsz,batch,best_epoch,best_metric,best_precision,best_recall,best_map50,best_map50_95,final_epoch,final_precision,final_recall,final_map50,final_map50_95,result_dir,best_weight,note,params_m,gflops,preprocess_ms,inference_ms,postprocess_ms,latency_ms,fps,inference_fps,model_size_mb,efficiency_imgsz,efficiency_batch,efficiency_device
exdark_yolo11s_baseline,baseline,baselines,weights/pretrained/yolo11s.pt,datasets_yolo/ExDark_YOLO/exdark.yaml,100,640,16,63,metrics/mAP50-95(B),0.81075,0.71119,0.78393,0.50075,100,0.83365,0.68723,0.76358,0.48278,runs/baselines/exdark_yolo11s_baseline,runs/baselines/exdark_yolo11s_baseline/weights/best.pt,initial baseline,,,0.3513,1.5817,0.3288,2.2618,442.1209,632.2453,18.2854,640.0,16.0,0.0
aodraw_yolo11s_baseline,baseline,baselines,weights/pretrained/yolo11s.pt,datasets_yolo/AODRaw_sRGB_YOLO/aodraw.yaml,100,640,16,74,metrics/mAP50-95(B),0.65213,0.38704,0.42416,0.28529,100,0.64905,0.38621,0.42277,0.27746,runs/baselines/aodraw_yolo11s_baseline,runs/baselines/aodraw_yolo11s_baseline/weights/best.pt,initial baseline,,,0.2948,0.8841,0.3847,1.5636,639.5679,1131.1381,18.3189,640.0,16.0,0.0
exdark_yolov8s_baseline,baseline,baselines,weights/pretrained/yolov8s.pt,datasets_yolo/ExDark_YOLO/exdark.yaml,100,640,16,58,metrics/mAP50-95(B),0.81113,0.68107,0.77263,0.49493,100,0.80849,0.69424,0.76202,0.48531,runs/baselines/exdark_yolov8s_baseline,runs/baselines/exdark_yolov8s_baseline/weights/best.pt,initial baseline,,,0.3274,1.1948,0.3154,1.8376,544.1816,836.9341,21.472,640.0,16.0,0.0
aodraw_yolov8s_baseline,baseline,baselines,weights/pretrained/yolov8s.pt,datasets_yolo/AODRaw_sRGB_YOLO/aodraw.yaml,100,640,16,85,metrics/mAP50-95(B),0.62566,0.38847,0.4126,0.27818,100,0.63694,0.37352,0.40631,0.27257,runs/baselines/aodraw_yolov8s_baseline,runs/baselines/aodraw_yolov8s_baseline/weights/best.pt,initial baseline,,,0.4107,0.8809,0.5117,1.8033,554.5292,1135.1936,21.5055,640.0,16.0,0.0
exdark_yolo11s_lqa_weight,module1,module1_lqa_weight,weights/pretrained/yolo11s.pt,runs/module1_lqa_weight/exdark_lqa.yaml,100,640,16,52,metrics/mAP50-95(B),0.78096,0.67194,0.74813,0.4803,100,0.78931,0.6662,0.72113,0.45208,runs/module1_lqa_weight/exdark_yolo11s_lqa_weight,runs/module1_lqa_weight/exdark_yolo11s_lqa_weight/weights/best.pt,lqa sampling weight for small-dark objects,,,0.3395,1.4432,0.3187,2.1014,475.8745,692.9113,18.2899,640.0,16.0,0
exdark_yolo11s_lqa_loss_warmup,module1,module1_lqa_loss,weights/pretrained/yolo11s.pt,datasets_yolo/ExDark_YOLO/exdark.yaml,100,640,16,58,metrics/mAP50-95(B),0.79263,0.7119,0.78147,0.50299,100,0.8103,0.68996,0.76238,0.48368,runs/module1_lqa_loss/exdark_yolo11s_lqa_loss_warmup,runs/module1_lqa_loss/exdark_yolo11s_lqa_loss_warmup/weights/best.pt,loss-level low-quality-aware weighting with warmup and clipping,,,,,,,,,,,,
