epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1269.62,1.12695,0.89896,1.21663,0.7829,0.68488,0.76717,0.48934,1.34662,0.99107,1.36267,0.000371313,0.000371313,0.000371313
43,1301.24,1.12206,0.8914,1.2101,0.77545,0.68026,0.76396,0.49067,1.33933,0.99425,1.35627,0.000365125,0.000365125,0.000365125
44,1338.19,1.11117,0.8833,1.20318,0.77023,0.68464,0.76037,0.48445,1.36082,1.01552,1.37369,0.000358938,0.000358938,0.000358938
45,1368.05,1.11139,0.87738,1.21119,0.77653,0.68948,0.76353,0.48811,1.34084,0.98554,1.36314,0.00035275,0.00035275,0.00035275
46,1396.34,1.10724,0.86421,1.20198,0.79572,0.69219,0.77082,0.49287,1.34784,0.98511,1.36751,0.000346563,0.000346563,0.000346563
47,1423.52,1.09553,0.84878,1.19416,0.80848,0.68651,0.77442,0.49266,1.34033,0.975,1.35417,0.000340375,0.000340375,0.000340375
48,1456.3,1.09798,0.85458,1.19269,0.78924,0.70363,0.77578,0.49181,1.35414,0.98674,1.36913,0.000334188,0.000334188,0.000334188
49,1484.66,1.08913,0.84076,1.18974,0.79737,0.68865,0.77234,0.4942,1.34617,0.9785,1.36231,0.000328,0.000328,0.000328
50,1511.82,1.07178,0.81904,1.18052,0.79268,0.69529,0.77419,0.49486,1.33851,0.96771,1.35787,0.000321812,0.000321812,0.000321812
51,1540.71,1.07097,0.82046,1.17966,0.80788,0.6906,0.77168,0.49129,1.35194,0.96673,1.36851,0.000315625,0.000315625,0.000315625
52,1574.67,1.06577,0.81765,1.17505,0.82077,0.67295,0.77535,0.49561,1.35118,0.96543,1.36625,0.000309437,0.000309437,0.000309437
53,1603.1,1.0666,0.81045,1.17284,0.79414,0.69911,0.77723,0.49635,1.34945,0.96223,1.3707,0.00030325,0.00030325,0.00030325
54,1631.19,1.05264,0.78463,1.16638,0.79991,0.69342,0.77416,0.49443,1.34461,0.96651,1.36736,0.000297063,0.000297063,0.000297063
55,1658.36,1.05842,0.7958,1.16814,0.79814,0.70217,0.77929,0.49509,1.35752,0.9635,1.37008,0.000290875,0.000290875,0.000290875
56,1691.84,1.0517,0.78848,1.16651,0.80707,0.68407,0.77532,0.4948,1.34708,0.96221,1.36537,0.000284688,0.000284688,0.000284688
57,1719.04,1.03806,0.77734,1.15867,0.79925,0.69931,0.77549,0.49161,1.35936,0.97219,1.38079,0.0002785,0.0002785,0.0002785
58,1746.43,1.03377,0.76449,1.15321,0.80364,0.69526,0.78062,0.49744,1.35359,0.9708,1.3732,0.000272313,0.000272313,0.000272313
59,1774.92,1.03611,0.76737,1.15692,0.81133,0.69619,0.78411,0.49833,1.35883,0.94357,1.36605,0.000266125,0.000266125,0.000266125
60,1810.77,1.03077,0.76107,1.15264,0.8118,0.69438,0.7797,0.49488,1.35942,0.95403,1.37979,0.000259938,0.000259938,0.000259938
61,1838.54,1.01757,0.75508,1.15001,0.81301,0.69584,0.78423,0.49875,1.34531,0.93928,1.36198,0.00025375,0.00025375,0.00025375
62,1866.08,1.01147,0.74455,1.14453,0.82033,0.69343,0.77987,0.49637,1.35374,0.95374,1.37281,0.000247563,0.000247563,0.000247563
63,1893.11,1.00623,0.73347,1.1391,0.81075,0.71119,0.78393,0.50075,1.35624,0.94652,1.37325,0.000241375,0.000241375,0.000241375
64,1925.85,0.9978,0.72607,1.13233,0.81441,0.69751,0.77795,0.49617,1.35549,0.95925,1.37069,0.000235188,0.000235188,0.000235188
65,1953.7,0.99556,0.72112,1.13315,0.80686,0.7042,0.78059,0.49799,1.36101,0.94943,1.37833,0.000229,0.000229,0.000229
66,1980.91,0.99287,0.71781,1.12953,0.81095,0.69531,0.78224,0.49751,1.35885,0.96351,1.37711,0.000222813,0.000222813,0.000222813
67,2008.84,0.98902,0.70775,1.12511,0.81726,0.69559,0.78347,0.49813,1.35407,0.95649,1.38024,0.000216625,0.000216625,0.000216625
68,2040.57,0.9795,0.71118,1.1219,0.80468,0.71112,0.78025,0.49555,1.35804,0.95829,1.37681,0.000210437,0.000210437,0.000210437
69,2068.75,0.97544,0.69774,1.1246,0.79394,0.71736,0.78504,0.49923,1.35912,0.94287,1.38281,0.00020425,0.00020425,0.00020425
70,2095.73,0.97083,0.69538,1.11711,0.81521,0.69296,0.78236,0.49781,1.35812,0.94706,1.37657,0.000198063,0.000198063,0.000198063
71,2123.74,0.96454,0.68501,1.1112,0.82429,0.70465,0.78547,0.49872,1.35638,0.94903,1.37827,0.000191875,0.000191875,0.000191875
72,2153.51,0.95526,0.68652,1.11136,0.8259,0.69924,0.78181,0.49869,1.3607,0.94968,1.38541,0.000185688,0.000185688,0.000185688
73,2181.86,0.95992,0.67839,1.10876,0.81312,0.70869,0.78057,0.49985,1.3553,0.94857,1.37841,0.0001795,0.0001795,0.0001795
74,2210.27,0.95188,0.66607,1.09753,0.80136,0.70947,0.7788,0.49654,1.35908,0.95365,1.37974,0.000173313,0.000173313,0.000173313
75,2237.2,0.94711,0.66436,1.10191,0.82692,0.69599,0.77752,0.49412,1.36118,0.96721,1.38595,0.000167125,0.000167125,0.000167125
76,2265.63,0.93997,0.66344,1.10271,0.82457,0.68921,0.78067,0.49751,1.36643,0.9634,1.39623,0.000160938,0.000160938,0.000160938
77,2295.58,0.93629,0.65642,1.0993,0.8017,0.70972,0.77967,0.49482,1.3667,0.95823,1.39728,0.00015475,0.00015475,0.00015475
78,2322.92,0.9279,0.64451,1.09181,0.81375,0.7029,0.78023,0.49734,1.36156,0.95828,1.39384,0.000148563,0.000148563,0.000148563
79,2351.14,0.92952,0.64446,1.09402,0.81825,0.69674,0.77618,0.4948,1.36763,0.97303,1.39734,0.000142375,0.000142375,0.000142375
80,2377.91,0.91965,0.63767,1.09002,0.80787,0.70584,0.77765,0.49582,1.36193,0.97198,1.39057,0.000136187,0.000136187,0.000136187
81,2409.81,0.91825,0.63108,1.08758,0.81589,0.70343,0.78074,0.49611,1.36594,0.96744,1.3922,0.00013,0.00013,0.00013
82,2436.69,0.91591,0.63269,1.08278,0.82254,0.70504,0.77891,0.49518,1.36744,0.96337,1.39848,0.000123812,0.000123812,0.000123812
83,2464.89,0.90956,0.62496,1.08125,0.83336,0.69505,0.77947,0.49491,1.36702,0.95538,1.39612,0.000117625,0.000117625,0.000117625
84,2491.63,0.90845,0.6219,1.08133,0.80324,0.71636,0.77946,0.4957,1.36553,0.95164,1.39439,0.000111438,0.000111438,0.000111438
85,2523.88,0.90075,0.61525,1.07497,0.82763,0.6995,0.7779,0.49681,1.36549,0.95782,1.39788,0.00010525,0.00010525,0.00010525
86,2552.16,0.88702,0.60703,1.0708,0.80486,0.71143,0.77645,0.49361,1.36683,0.96655,1.39814,9.90625e-05,9.90625e-05,9.90625e-05
87,2579.02,0.89301,0.60704,1.06775,0.80782,0.70417,0.77148,0.4916,1.36627,0.96973,1.39385,9.2875e-05,9.2875e-05,9.2875e-05
88,2606.93,0.88342,0.59974,1.06984,0.81424,0.69845,0.77174,0.49298,1.36841,0.97225,1.39962,8.66875e-05,8.66875e-05,8.66875e-05
89,2637.87,0.88254,0.5986,1.06839,0.81224,0.70619,0.77339,0.49361,1.37069,0.98171,1.40461,8.05e-05,8.05e-05,8.05e-05
90,2665.99,0.8753,0.5871,1.06159,0.83687,0.69065,0.77563,0.49428,1.37119,0.97459,1.40351,7.43125e-05,7.43125e-05,7.43125e-05
91,2693.94,0.81708,0.45866,1.01828,0.8224,0.69386,0.77115,0.48835,1.38108,0.9765,1.41377,6.8125e-05,6.8125e-05,6.8125e-05
92,2721.65,0.79519,0.43703,1.00642,0.82136,0.69688,0.77002,0.4863,1.38261,0.98824,1.41691,6.19375e-05,6.19375e-05,6.19375e-05
93,2750.2,0.78508,0.42872,1.00127,0.8242,0.70083,0.76854,0.48526,1.38355,0.99154,1.4216,5.575e-05,5.575e-05,5.575e-05
94,2780.26,0.77602,0.41739,0.99505,0.81609,0.70249,0.76963,0.48453,1.38337,0.99284,1.42476,4.95625e-05,4.95625e-05,4.95625e-05
95,2806.9,0.76875,0.41403,0.99591,0.82956,0.69536,0.76996,0.48451,1.38359,0.99071,1.4254,4.3375e-05,4.3375e-05,4.3375e-05
96,2834.67,0.76656,0.41274,0.99203,0.82739,0.69698,0.76823,0.4849,1.38459,0.99487,1.42809,3.71875e-05,3.71875e-05,3.71875e-05
97,2861.58,0.75847,0.40617,0.98696,0.8408,0.68639,0.767,0.48475,1.38392,0.99722,1.43027,3.1e-05,3.1e-05,3.1e-05
98,2894.75,0.75075,0.40384,0.98476,0.83142,0.69264,0.76548,0.48429,1.38264,0.99707,1.43188,2.48125e-05,2.48125e-05,2.48125e-05
99,2921.9,0.74897,0.40275,0.98498,0.8303,0.69138,0.76354,0.48403,1.38222,0.9997,1.43231,1.8625e-05,1.8625e-05,1.8625e-05
100,2948.5,0.74834,0.40101,0.98416,0.83365,0.68723,0.76358,0.48278,1.38321,0.9993,1.4337,1.24375e-05,1.24375e-05,1.24375e-05
